Taylor;40;43;32
Enderson;83;90;47
Ward;31;91;99
Longman;87;76;25
Creighton;43;64;79
Paterson;64;28;32
Sherlock;65;91;62
Birch;54;58;24
Carrington;83;95;71
Elmers;47;57;83
Tracey;41;31;34
Bishop;95;57;72
Holmes;83;24;77
Kingsman;88;56;70
Miers;26;79;39
Quincy;66;96;69
James;47;47;41
Kendal;76;94;40
Peterson;76;57;88
Ferguson;95;73;72
Thomson;36;61;100
Owen;76;56;85
Brown;69;77;77
Dowman;42;45;61
Wood;30;29;40
Hailey;85;54;46
Vance;45;25;25
Baldwin;82;52;25
Hodges;50;30;84
Shorter;48;67;71
Foster;48;57;50
Calhoun;32;71;54
Bradshaw;31;81;67
Duncan;47;38;72
Reynolds;46;79;52
Watson;89;79;98
Mansfield;67;58;74
Fulton;27;67;67
Becker;45;100;45
Jones;92;87;25
Blare;46;99;91
Salisburry;97;52;63
Peacock;67;39;73
Higgins;97;59;32
MacAlister;66;45;97
Jenkin;71;43;38
Goldman;88;24;74
Galbraith;32;30;41
Cook;38;41;74
Clifford;76;56;84
Ellington;78;77;91
Gardner;98;41;68
Archibald;80;96;39
Chandter;46;39;78
Gilbert;59;99;62
Berrington;38;87;91
Harrison;50;91;81
Pass;40;26;50
Fane;38;68;54
Allford;47;63;32
Kennedy;77;65;35
Dodson;34;79;91
Lawman;27;57;28
Oliver;50;37;56
Philips;34;96;62
Macey;30;59;61
Bradberry;25;45;34
Addington;86;68;43
Palmer;62;24;87
Kirk;98;37;42
Backer;74;66;47
Atcheson;35;59;72
Anderson;25;57;25
Derrick;34;51;97
Nathan;51;91;48
Alsopp;43;85;89
Fisher;27;52;89
Morrison;29;94;62
Durham;84;75;75
Johnson;42;31;89
Hamphrey;63;68;84
Wesley;44;88;90
Jerome;82;27;66
Winter;54;56;47
Kennett;51;85;69
Carroll;29;95;53
Davidson;88;39;28
Wallace;62;99;58
Aldridge;83;63;83
Arthurs;63;37;25
Ogden;65;36;30
Osborne;45;29;95
Roberts;90;64;28
Gilmore;45;47;97
Youmans;86;64;26
Coleman;67;65;61
Barrington;56;83;53
Waller;95;68;35
Adamson;98;87;46
Eddington;84;84;43
Leapman;71;63;28
Hancock;30;57;80
Shackley;28;95;63
Pearcy;53;94;35
Miln;34;46;84
Laird;88;93;42
Milton;26;66;43
Wayne;80;85;34
Blomfield;69;87;49
Thorndike;57;34;45
Bush;63;42;55
Dutton;26;55;28
Macduff;51;61;64
Warren;41;29;33
Miller;46;96;88
Gilson;66;75;67
Dickinson;25;58;65
Dyson;55;51;39
Donaldson;51;91;59
Brooks;33;75;55
Timmons;38;72;50
Dean;29;91;36
Wainwright;49;63;88
Stevenson;47;24;39
Fleming;60;88;61
Farmer;60;45;47
Vaughan;92;90;62
Oakman;98;31;95
Erickson;34;44;100
Oldman;35;28;34
Lewin;69;84;94
Ramacey;99;97;51
Hawkins;41;97;55
Brickman;24;91;63
Bosworth;81;87;40
Nelson;70;58;86
MacDonald;30;82;46
Michaelson;47;73;99
Keat;30;44;95
Donovan;56;100;33
Gimson;66;89;45
Smith;71;47;75
Porter;24;69;43
Attwood;72;44;65
Lamberts;44;61;38
Mackenzie;75;44;28
Gustman;94;73;91
Leman;58;42;37
Hardman;66;33;84
Stephen;49;32;97
Faber;61;42;43
MacAdam;45;57;44
Carter;78;60;86
Daniels;89;38;87
